id,name,psmiles,source,description,Tg,Tm,elastic_modulus,molecular_weight
polymer,Polymer,CC,pdf_datasheet,Polymer extracted from datasheet: polymer,358.0,5300.0,1.0,90000.0
polymeric,Polymeric,CC,pdf_datasheet,Polymer extracted from datasheet: polymeric,,,1.0,
polymers,Polymers,CC,pdf_datasheet,Polymer extracted from datasheet: polymers,14471.0,1863.0,1.0,90000.0
pe,Polyethylene,CC,pdf_datasheet,Polymer extracted from datasheet: pe,3.0,5300.0,1.0,90000.0
polymersand,Polymersand,CC,pdf_datasheet,Polymer extracted from datasheet: polymersand,,,1.0,
polysaccharides,Polysaccharides,CC,pdf_datasheet,Polymer extracted from datasheet: polysaccharides,,,3.0,30000.0
polymerization,Polymerization,CC,pdf_datasheet,Polymer extracted from datasheet: polymerization,,,3.0,
polymercomposition,Polymercomposition,CC,pdf_datasheet,Polymer extracted from datasheet: polymercomposition,,,8.0,
polymersdatabase,Polymersdatabase,CC,pdf_datasheet,Polymer extracted from datasheet: polymersdatabase,,,1.0,
pa,Polyamide,CCCCCCN,pdf_datasheet,Polymer extracted from datasheet: Pa,,1238.0,18.0,370000.0
abs,Acrylonitrile Butadiene Styrene,CCc1ccccc1,pdf_datasheet,Polymer extracted from datasheet: ABS,,5300.0,1.0,66000.0
ps,Polystyrene,CCc1ccccc1,pdf_datasheet,Polymer extracted from datasheet: ps,358.0,2883.0,16.0,1343.0
polybutadiene,Polybutadiene,CC,pdf_datasheet,Polymer extracted from datasheet: polybutadiene,,2883.0,1.0,30000.0
polymerisation,Polymerisation,CC,pdf_datasheet,Polymer extracted from datasheet: polymerisation,3.0,137.89,1.0,65000000.0
polybuta,Polybuta,CC,pdf_datasheet,Polymer extracted from datasheet: polybuta,,,1.0,2350.0
polymerisationprocess,Polymerisationprocess,CC,pdf_datasheet,Polymer extracted from datasheet: polymerisationprocess,,,1.0,
polymerisationingredients,Polymerisationingredients,CC,pdf_datasheet,Polymer extracted from datasheet: polymerisationingredients,,,1.0,
polymerisa,Polymerisa,CC,pdf_datasheet,Polymer extracted from datasheet: polymerisa,,,1.0,
polymerisationinitiator,Polymerisationinitiator,CC,pdf_datasheet,Polymer extracted from datasheet: polymerisationinitiator,,,1.0,
polyamide,Polyamide,CC,pdf_datasheet,Polymer extracted from datasheet: polyamide,,,9003.0,13000.0
polycarbo,Polycarbo,CC,pdf_datasheet,Polymer extracted from datasheet: polycarbo,,,9003.0,10000.0
polycarbonate,Polycarbonate,CC,pdf_datasheet,Polymer extracted from datasheet: Polycarbonate,,,9003.0,18000.0
pc,Polycarbonate,CC(C)(c1ccc(O)cc1),pdf_datasheet,Polymer extracted from datasheet: PC,,,9003.0,1330000.0
polycarbonatemonomers,Polycarbonatemonomers,CC,pdf_datasheet,Polymer extracted from datasheet: polycarbonateMonomers,,,9003.0,
polymerrelated,Polymerrelated,CC,pdf_datasheet,Polymer extracted from datasheet: polymerRelated,,,9003.0,
polyacrylonitrile,Polyacrylonitrile,CC,pdf_datasheet,Polymer extracted from datasheet: Polyacrylonitrile,,,9003.0,90000.0
polyvinylchloride,Polyvinylchloride,CC,pdf_datasheet,Polymer extracted from datasheet: Polyvinylchloride,,,9003.0,
polyvi,Polyvi,CC,pdf_datasheet,Polymer extracted from datasheet: polyvi,,,9003.0,
pvc,Polyvinyl Chloride,CCCl,pdf_datasheet,Polymer extracted from datasheet: PVC,,,9003.0,109000.0
polyurethane,Polyurethane,CC,pdf_datasheet,Polymer extracted from datasheet: polyurethane,,,1.0,43500000.0
polysulfone,Polysulfone,CC,pdf_datasheet,Polymer extracted from datasheet: Polysulfone,,,25135.0,40000.0
polyacrylamide,Polyacrylamide,CC,pdf_datasheet,Polymer extracted from datasheet: Polyacrylamide,,,9003.0,
polyanilinewithin,Polyanilinewithin,CC,pdf_datasheet,Polymer extracted from datasheet: polyanilinewithin,,,0.00042,
polymannuronic,Polymannuronic,CC,pdf_datasheet,Polymer extracted from datasheet: Polymannuronic,,,9005.0,
polyguluronic,Polyguluronic,CC,pdf_datasheet,Polymer extracted from datasheet: Polyguluronic,,,9005.0,
polyamides,Polyamides,CC,pdf_datasheet,Polymer extracted from datasheet: polyamides,,,250.0,20000.0
polym,Polym,CC,pdf_datasheet,Polymer extracted from datasheet: polym,,,1965.0,2000.0
polycondensation,Polycondensation,CC,pdf_datasheet,Polymer extracted from datasheet: polycondensation,,,1965.0,
polystyrenemonomers,Polystyrenemonomers,CC,pdf_datasheet,Polymer extracted from datasheet: PolystyreneMonomers,,,26299.0,
polypropylene,Polypropylene,CC(C),pdf_datasheet,Polymer extracted from datasheet: polypropylene,,792.0,1.0,255000.0
polypropy,Polypropy,CC,pdf_datasheet,Polymer extracted from datasheet: polypropy,,,1.0,
polyimide,Polyimide,CC,pdf_datasheet,Polymer extracted from datasheet: Polyimide,,,94148.0,80000.0
polyaddition,Polyaddition,CC,pdf_datasheet,Polymer extracted from datasheet: polyaddition,,,1.0,
polysiloxanes,Polysiloxanes,CC,pdf_datasheet,Polymer extracted from datasheet: polysiloxanes,,,19.0,40000.0
pp,Polypropylene,CC(C),pdf_datasheet,Polymer extracted from datasheet: pp,,,53859.0,100000.0
polynucleotidescarrageenan,Polynucleotidescarrageenan,CC,pdf_datasheet,Polymer extracted from datasheet: polynucleotidesCarrageenan,,,,33000.0
polynosic,Polynosic,CC,pdf_datasheet,Polymer extracted from datasheet: polynosic,,,1.0,
polyester,Polyester,CC,pdf_datasheet,Polymer extracted from datasheet: polyester,,,1.0,30000.0
polynucleotides,Polynucleotides,CC,pdf_datasheet,Polymer extracted from datasheet: polynucleotides,,,3.0,95000.0
polysiloxane,Polysiloxane,CC,pdf_datasheet,Polymer extracted from datasheet: polysiloxane,,,69430.0,
polysiloxanesmonomers,Polysiloxanesmonomers,CC,pdf_datasheet,Polymer extracted from datasheet: PolysiloxanesMonomers,,,69430.0,
polyamine,Polyamine,CC,pdf_datasheet,Polymer extracted from datasheet: polyamine,,,18.0,
polyamidecured,Polyamidecured,CC,pdf_datasheet,Polymer extracted from datasheet: polyamidecured,,,828.0,
polyp,Polyp,CC,pdf_datasheet,Polymer extracted from datasheet: polyp,,,828.0,
polyethylene,Polyethylene,CC,pdf_datasheet,Polymer extracted from datasheet: polyethylene,,1.0,24936.0,520.0
polyur,Polyur,CC,pdf_datasheet,Polymer extracted from datasheet: polyur,,,24936.0,
polycarbonates,Polycarbonates,CC,pdf_datasheet,Polymer extracted from datasheet: polycarbonates,,,1.0,
polycarbonateby,Polycarbonateby,CC,pdf_datasheet,Polymer extracted from datasheet: polycarbonateby,,,18.0,
polyesters,Polyesters,CC,pdf_datasheet,Polymer extracted from datasheet: polyesters,,,1.0,1000.0
pet,Polyethylene Terephthalate,CCOc1ccc(C(=O)O)cc1,pdf_datasheet,Polymer extracted from datasheet: PET,30.0,,0.0,
polycarbonatecohesive,Polycarbonatecohesive,CC,pdf_datasheet,Polymer extracted from datasheet: polycarbonateCohesive,,,2.0,
polyisobutylene,Polyisobutylene,CC,pdf_datasheet,Polymer extracted from datasheet: polyisobutylene,,,1.0,
polymerised,Polymerised,CC,pdf_datasheet,Polymer extracted from datasheet: polymerised,,,180.0,800.0
polyimidecas,Polyimidecas,CC,pdf_datasheet,Polymer extracted from datasheet: PolyimideCAS,,,25868.0,
polysar,Polysar,CC,pdf_datasheet,Polymer extracted from datasheet: Polysar,,,800.0,
polydienes,Polydienes,CC,pdf_datasheet,Polymer extracted from datasheet: Polydienes,,,1.0,200000.0
polynucleotide,Polynucleotide,CC,pdf_datasheet,Polymer extracted from datasheet: polynucleotide,,,3.0,
polymethylphenylsilane,Polymethylphenylsilane,CC,pdf_datasheet,Polymer extracted from datasheet: polymethylphenylsilane,,,76188.0,20000.0
polyphe,Polyphe,CC,pdf_datasheet,Polymer extracted from datasheet: polyphe,,,76188.0,
polyphenylmethylsilylene,Polyphenylmethylsilylene,CC,pdf_datasheet,Polymer extracted from datasheet: polyphenylmethylsilylene,,,76188.0,
polysilanes,Polysilanes,CC,pdf_datasheet,Polymer extracted from datasheet: polysilanes,,,76188.0,20000.0
polyol,Polyol,CC,pdf_datasheet,Polymer extracted from datasheet: polyol,,,31692.0,
polydimethylsiloxane,Polydimethylsiloxane,CC,pdf_datasheet,Polymer extracted from datasheet: Polydimethylsiloxane,,,31692.0,84000.0
polypropylenepolyolefins,Polypropylenepolyolefins,CC,pdf_datasheet,Polymer extracted from datasheet: polypropylenepolyolefins,,,52682.0,520.0
polyolefins,Polyolefins,CC,pdf_datasheet,Polymer extracted from datasheet: polyolefins,,,52682.0,500.0
polystyrene,Polystyrene,CCc1ccccc1,pdf_datasheet,Polymer extracted from datasheet: polystyrene,,,52682.0,32900.0
polychlorotrifluoroethylene,Polychlorotrifluoroethylene,CC,pdf_datasheet,Polymer extracted from datasheet: Polychlorotrifluoroethylene,,,25101.0,
polyhaloolefinscas,Polyhaloolefinscas,CC,pdf_datasheet,Polymer extracted from datasheet: polyhaloolefinsCAS,,,25101.0,
polymerincreases,Polymerincreases,CC,pdf_datasheet,Polymer extracted from datasheet: polymerincreases,,,8.0,
polytetrafluoroethylene,Polytetrafluoroethylene,CC,pdf_datasheet,Polymer extracted from datasheet: Polytetrafluoroethylene,,,25038.0,400000.0
polyethylenemelt,Polyethylenemelt,CC,pdf_datasheet,Polymer extracted from datasheet: polyethyleneMelt,,,1.0,
polymersfluorocarbon,Polymersfluorocarbon,CC,pdf_datasheet,Polymer extracted from datasheet: polymersfluorocarbon,,,1.0,
polyme,Polyme,CC,pdf_datasheet,Polymer extracted from datasheet: polyme,,,17.0,
polyolefin,Polyolefin,CC,pdf_datasheet,Polymer extracted from datasheet: Polyolefin,,,2.0,
polyisoprene,Polyisoprene,CC,pdf_datasheet,Polymer extracted from datasheet: Polyisoprene,,,19.0,200000.0
polyphosphazenes,Polyphosphazenes,CC,pdf_datasheet,Polymer extracted from datasheet: polyphosphazenes,,,1.0,300000.0
polysaccharide,Polysaccharide,CC,pdf_datasheet,Polymer extracted from datasheet: polysaccharide,,,0.0,5000.0
polystyrenecauses,Polystyrenecauses,CC,pdf_datasheet,Polymer extracted from datasheet: polystyrenecauses,,,1.0,
polystyryl,Polystyryl,CC,pdf_datasheet,Polymer extracted from datasheet: polystyryl,,,1.0,
polyoxyphenylene,Polyoxyphenylene,CC,pdf_datasheet,Polymer extracted from datasheet: polyoxyphenylene,,,9003.0,
polyalkylene,Polyalkylene,CC,pdf_datasheet,Polymer extracted from datasheet: polyalkylene,,,9003.0,200.0
polystyrene25134,Polystyrene25134,CC,pdf_datasheet,Polymer extracted from datasheet: polystyrene25134,,,9003.0,
polymersystems,Polymersystems,CC,pdf_datasheet,Polymer extracted from datasheet: polymersystems,,,1.0,
polymerwater,Polymerwater,CC,pdf_datasheet,Polymer extracted from datasheet: polymerWater,,,1.0,
polyphenylene,Polyphenylene,CC,pdf_datasheet,Polymer extracted from datasheet: polyphenylene,,,18.0,40000.0
polyblends,Polyblends,CC,pdf_datasheet,Polymer extracted from datasheet: polyblends,,,5.0,
polythene,Polythene,CC,pdf_datasheet,Polymer extracted from datasheet: Polythene,,,9002.0,
polyethylenes,Polyethylenes,CC,pdf_datasheet,Polymer extracted from datasheet: polyethylenes,,,1.0,
polymernovacor,Polymernovacor,CC,pdf_datasheet,Polymer extracted from datasheet: polymerNovacor,,,25.0,
polymethacrylates,Polymethacrylates,CC,pdf_datasheet,Polymer extracted from datasheet: Polymethacrylates,,,29320.0,
polyoxypropylene,Polyoxypropylene,CC,pdf_datasheet,Polymer extracted from datasheet: Polyoxypropylene,,,9003.0,
polymethacrylamide,Polymethacrylamide,CC,pdf_datasheet,Polymer extracted from datasheet: Polymethacrylamide,,,1.0,
polychloroprene,Polychloroprene,CC,pdf_datasheet,Polymer extracted from datasheet: Polychloroprene,,,25101.0,
pmma,Polymethyl Methacrylate,CC(C)(C(=O)OC),pdf_datasheet,Polymer extracted from datasheet: PMMA,,,1.0,66000.0
polyurethaneand,Polyurethaneand,CC,pdf_datasheet,Polymer extracted from datasheet: polyurethaneand,,,1.5,
polysi,Polysi,CC,pdf_datasheet,Polymer extracted from datasheet: polysi,,,12.0,
polymer158496,Polymer158496,CC,pdf_datasheet,Polymer extracted from datasheet: polymer158496,,,,20000.0
polyacrylates,Polyacrylates,CC,pdf_datasheet,Polymer extracted from datasheet: polyacrylates,,,2.0,
polysarkrynac,Polysarkrynac,CC,pdf_datasheet,Polymer extracted from datasheet: PolysarKrynac,,,3.0,
polymides,Polymides,CC,pdf_datasheet,Polymer extracted from datasheet: polymides,,,,13000.0
polymerise,Polymerise,CC,pdf_datasheet,Polymer extracted from datasheet: polymerise,,,1.0,75200.0
polymerisationfollowed,Polymerisationfollowed,CC,pdf_datasheet,Polymer extracted from datasheet: polymerisationfollowed,,,1.0,
polypentabromobenzylacrylate,Polypentabromobenzylacrylate,CC,pdf_datasheet,Polymer extracted from datasheet: Polypentabromobenzylacrylate,,,304.0,
polymerisationis,Polymerisationis,CC,pdf_datasheet,Polymer extracted from datasheet: polymerisationis,,,100.0,
polymorphism,Polymorphism,CC,pdf_datasheet,Polymer extracted from datasheet: polymorphism,,,11.0,
polymertubing,Polymertubing,CC,pdf_datasheet,Polymer extracted from datasheet: polymertubing,,,929.0,
polyacrylic,Polyacrylic,CC,pdf_datasheet,Polymer extracted from datasheet: polyacrylic,,,1.0,
polymernylene,Polymernylene,CC,pdf_datasheet,Polymer extracted from datasheet: PolymerNylene,,,1.0,
polyether,Polyether,CC,pdf_datasheet,Polymer extracted from datasheet: polyether,,,1.0,1000.0
polytetramethylene,Polytetramethylene,CC,pdf_datasheet,Polymer extracted from datasheet: polytetramethylene,,,1.0,
polysulfones,Polysulfones,CC,pdf_datasheet,Polymer extracted from datasheet: polysulfones,,,137.0,
polymershave,Polymershave,CC,pdf_datasheet,Polymer extracted from datasheet: polymershave,,,1.0,
polyethers,Polyethers,CC,pdf_datasheet,Polymer extracted from datasheet: Polyethers,,,3.0,1000.0
polyetherketones,Polyetherketones,CC,pdf_datasheet,Polymer extracted from datasheet: polyetherketones,,,3.0,
polyoxetane,Polyoxetane,CC,pdf_datasheet,Polymer extracted from datasheet: polyoxetane,,,13.0,
polybenzimidazole,Polybenzimidazole,CC,pdf_datasheet,Polymer extracted from datasheet: polybenzimidazole,,,25734.0,
polyphosphoric,Polyphosphoric,CC,pdf_datasheet,Polymer extracted from datasheet: polyphosphoric,,,11.0,
polybutylene,Polybutylene,CC,pdf_datasheet,Polymer extracted from datasheet: Polybutylene,,,24968.0,30000.0
polymercomposites,Polymercomposites,CC,pdf_datasheet,Polymer extracted from datasheet: PolymerComposites,30.0,,30.0,
polyoxyethylene,Polyoxyethylene,CC,pdf_datasheet,Polymer extracted from datasheet: polyoxyethylene,,,1.0,
polyalcohol,Polyalcohol,CC,pdf_datasheet,Polymer extracted from datasheet: polyalcohol,,,1.0,
polychem,Polychem,CC,pdf_datasheet,Polymer extracted from datasheet: Polychem,,,3104.0,
polymer28303,Polymer28303,CC,pdf_datasheet,Polymer extracted from datasheet: polymer28303,,,29659.0,
polymermolecular,Polymermolecular,CC,pdf_datasheet,Polymer extracted from datasheet: polymerMolecular,,,9003.0,
polymer28265,Polymer28265,CC,pdf_datasheet,Polymer extracted from datasheet: polymer28265,,,9002.0,
polyacetylene,Polyacetylene,CC,pdf_datasheet,Polymer extracted from datasheet: polyacetylene,3.0,,25067.0,
polyelectrolyte,Polyelectrolyte,CC,pdf_datasheet,Polymer extracted from datasheet: polyelectrolyte,,,1.0,
polymethacrylonitrile,Polymethacrylonitrile,CC,pdf_datasheet,Polymer extracted from datasheet: Polymethacrylonitrile,,,31631.0,
polyethylenepolyamine,Polyethylenepolyamine,CC,pdf_datasheet,Polymer extracted from datasheet: polyethylenepolyamine,,,1.0,
polyanhydride,Polyanhydride,CC,pdf_datasheet,Polymer extracted from datasheet: polyanhydride,,,1.0,
polyanhydrides,Polyanhydrides,CC,pdf_datasheet,Polymer extracted from datasheet: polyanhydrides,,,1.0,
polyaniline,Polyaniline,CC,pdf_datasheet,Polymer extracted from datasheet: polyaniline,,,3.0,57.0
polymerisations,Polymerisations,CC,pdf_datasheet,Polymer extracted from datasheet: polymerisations,,,1.0,
polysilanescas,Polysilanescas,CC,pdf_datasheet,Polymer extracted from datasheet: polysilanesCAS,,,107999.0,412.0
polycrystalline,Polycrystalline,CC,pdf_datasheet,Polymer extracted from datasheet: Polycrystalline,,,1.0,
polyfluorene,Polyfluorene,CC,pdf_datasheet,Polymer extracted from datasheet: polyfluorene,,,188201.0,
polymerspolybutadiene,Polymerspolybutadiene,CC,pdf_datasheet,Polymer extracted from datasheet: polymerspolybutadiene,,,1.0,
polyvinyl,Polyvinyl,CC,pdf_datasheet,Polymer extracted from datasheet: polyvinyl,,,1.0,30000.0
polysarbibliographic,Polysarbibliographic,CC,pdf_datasheet,Polymer extracted from datasheet: PolysarBibliographic,,,1359.0,
polymer39923,Polymer39923,CC,pdf_datasheet,Polymer extracted from datasheet: polymer39923,,,26895.0,
polycarbodiimide,Polycarbodiimide,CC,pdf_datasheet,Polymer extracted from datasheet: Polycarbodiimide,,,1.0,
polycondensed,Polycondensed,CC,pdf_datasheet,Polymer extracted from datasheet: polycondensed,,,1.0,
polybuty,Polybuty,CC,pdf_datasheet,Polymer extracted from datasheet: Polybuty,,,26062.0,
polybutyleneterephthalate,Polybutyleneterephthalate,CC,pdf_datasheet,Polymer extracted from datasheet: Polybutyleneterephthalate,,,26062.0,
polymerscas,Polymerscas,CC,pdf_datasheet,Polymer extracted from datasheet: polymersCAS,,,26062.0,
polylsilylenes,Polylsilylenes,CC,pdf_datasheet,Polymer extracted from datasheet: polylsilylenes,,,1.0,
polysciences,Polysciences,CC,pdf_datasheet,Polymer extracted from datasheet: Polysciences,,,2042.0,200000.0
polymerproducts,Polymerproducts,CC,pdf_datasheet,Polymer extracted from datasheet: PolymerProducts,,,,200000.0
polyoxydimethylsi,Polyoxydimethylsi,CC,pdf_datasheet,Polymer extracted from datasheet: polyoxydimethylsi,,,72.0,
polycarbosilanes,Polycarbosilanes,CC,pdf_datasheet,Polymer extracted from datasheet: Polycarbosilanes,,,100044.0,73.0
polysilane,Polysilane,CC,pdf_datasheet,Polymer extracted from datasheet: polysilane,,,14.0,1.0
polythiophene,Polythiophene,CC,pdf_datasheet,Polymer extracted from datasheet: polythiophene,,,98837.0,24400.0
polymorphic,Polymorphic,CC,pdf_datasheet,Polymer extracted from datasheet: Polymorphic,,,1.0,
polyvinyls,Polyvinyls,CC,pdf_datasheet,Polymer extracted from datasheet: polyvinyls,,,25232.0,30000.0
polymer28214,Polymer28214,CC,pdf_datasheet,Polymer extracted from datasheet: polymer28214,,,25232.0,
polymer25654,Polymer25654,CC,pdf_datasheet,Polymer extracted from datasheet: polymer25654,,,25655.0,
polycarbonatecas,Polycarbonatecas,CC,pdf_datasheet,Polymer extracted from datasheet: polycarbonateCAS,,,1.0,
polyurethanes,Polyurethanes,CC,pdf_datasheet,Polymer extracted from datasheet: Polyurethanes,,,1.0,2000.0
polyindole,Polyindole,CC,pdf_datasheet,Polymer extracted from datasheet: polyindole,,,5.0,
polymerspoly,Polymerspoly,CC,pdf_datasheet,Polymer extracted from datasheet: polymersPoly,,,1.0,15000.0
polychloroprenes,Polychloroprenes,CC,pdf_datasheet,Polymer extracted from datasheet: polychloroprenes,,,1.0,
polychlor,Polychlor,CC,pdf_datasheet,Polymer extracted from datasheet: polychlor,,,1.0,
polymerranges,Polymerranges,CC,pdf_datasheet,Polymer extracted from datasheet: polymerranges,,,0.0,
polymethyl,Polymethyl,CC,pdf_datasheet,Polymer extracted from datasheet: polymethyl,,,2.0,
polyepichlorohydrin,Polyepichlorohydrin,CC,pdf_datasheet,Polymer extracted from datasheet: polyepichlorohydrin,,,18.0,
polyquinoxaline,Polyquinoxaline,CC,pdf_datasheet,Polymer extracted from datasheet: polyquinoxaline,,,1.0,
polymethylmethacrylate,Polymethylmethacrylate,CC,pdf_datasheet,Polymer extracted from datasheet: polymethylmethacrylate,,,1.0,
polyfluorenecas,Polyfluorenecas,CC,pdf_datasheet,Polymer extracted from datasheet: polyfluoreneCAS,,,2.0,
polymersolutions,Polymersolutions,CC,pdf_datasheet,Polymer extracted from datasheet: Polymersolutions,,,1.0,
polydimethylbutadiene,Polydimethylbutadiene,CC,pdf_datasheet,Polymer extracted from datasheet: Polydimethylbutadiene,,,1.0,
polydimethyldiphenylsiloxane,Polydimethyldiphenylsiloxane,CC,pdf_datasheet,Polymer extracted from datasheet: Polydimethyldiphenylsiloxane,,,1.0,
polyphenyleneoxide,Polyphenyleneoxide,CC,pdf_datasheet,Polymer extracted from datasheet: Polyphenyleneoxide,,,1.0,
polythiophenepoly,Polythiophenepoly,CC,pdf_datasheet,Polymer extracted from datasheet: polythiophenePoly,,,104934.0,
polyetheretherketone,Polyetheretherketone,CC,pdf_datasheet,Polymer extracted from datasheet: Polyetheretherketone,,,30.0,
polyaryletheretherketone,Polyaryletheretherketone,CC,pdf_datasheet,Polymer extracted from datasheet: Polyaryletheretherketone,,,30.0,
polyetherketone,Polyetherketone,CC,pdf_datasheet,Polymer extracted from datasheet: Polyetherketone,,,30.0,11500.0
polyetherketoneketone,Polyetherketoneketone,CC,pdf_datasheet,Polymer extracted from datasheet: Polyetherketoneketone,,,30.0,
polyetherketoneetherketoneketone,Polyetherketoneetherketoneketone,CC,pdf_datasheet,Polymer extracted from datasheet: Polyetherketoneetherketoneketone,,,27380.0,
polyetheretherketoneketonemonomers,Polyetheretherketoneketonemonomers,CC,pdf_datasheet,Polymer extracted from datasheet: PolyetheretherketoneketoneMonomers,,,27380.0,
polymorphs,Polymorphs,CC,pdf_datasheet,Polymer extracted from datasheet: polymorphs,,,466.0,
